INFO     | 2016-05-08 07:48:58,938 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-05-08 07:48:58,945 | config     | Setting 'alignment' to 'publishedGenomes_mare.phylip'
INFO     | 2016-05-08 07:48:58,945 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2016-05-08 07:48:58,946 | parser     | Setting 'models' to 'all_protein'
INFO     | 2016-05-08 07:48:58,946 | parser     | The models included in this analysis are: MTMAM+I+G+F, DAYHOFF+G, CPREV+I+G+F, CPREV+I+G, MTMAM+G, JTT+I+G+F, MTMAM+G+F, RTREV+G+F, DCMUT+I+G, RTREV+I+G, VT+G+F, DCMUT+G, MTMAM+I+G, WAG+I+G+F, DCMUT+G+F, LG+G+F, RTREV+I+G+F, WAG+I+G, CPREV+G, MTREV+I+G+F, DAYHOFF+I+G, LG+G, MTREV+G, VT+G, LG+I+G, MTREV+G+F, DAYHOFF+I+G+F, WAG+G, JTT+G, CPREV+G+F, WAG+G+F, BLOSUM62+G+F, MTREV+I+G, JTT+G+F, DCMUT+I+G+F, BLOSUM62+I+G+F, DAYHOFF+G+F, LG+I+G+F, RTREV+G, VT+I+G, BLOSUM62+I+G, BLOSUM62+G, JTT+I+G, VT+I+G+F
INFO     | 2016-05-08 07:48:58,946 | parser     | Setting datatype to 'protein'
INFO     | 2016-05-08 07:48:58,946 | config     | Setting 'model_selection' to 'bic'
INFO     | 2016-05-08 07:49:02,556 | config     | Setting 'search' to 'hcluster'
INFO     | 2016-05-08 07:49:02,557 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2016-05-08 07:49:02,558 | config     | Looking for alignment file './publishedGenomes_mare.phylip'...
INFO     | 2016-05-08 07:49:02,558 | analysis   | Beginning Analysis
INFO     | 2016-05-08 07:49:02,558 | analysis   | Removing Schemes in './analysis/schemes' (they will be recalculated from existing subset data)
INFO     | 2016-05-08 07:49:02,558 | config     | Checking previously run configuration data...
INFO     | 2016-05-08 07:49:02,659 | alignment  | Reading alignment file './publishedGenomes_mare.phylip'
ERROR    | 2016-05-08 07:49:02,710 | alignment  | Error in Alignment Parsing:Expected stringEnd (at char 1485845), (line:8, col:1)
ERROR    | 2016-05-08 07:49:02,710 | alignment  | A common cause of this error is having whitespace, i.e. spaces or tabs, in the species names. Please check this and remove all whitespace from species names, or replace them with e.g. underscores
ERROR    | 2016-05-08 07:49:02,710 | main       | Failed to run. See previous errors.
INFO     | 2016-05-08 07:58:53,759 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2016-05-08 07:58:53,766 | config     | Setting 'alignment' to 'publishedGenomes_mare.phylip'
INFO     | 2016-05-08 07:58:53,767 | config     | Setting 'branchlengths' to 'linked'
